*************Target variables in total: 40*************
Number of Faulty Executions: 543
,variable_name,max_risk_diff,quantile1,quantile2
16,y_0,0.994994994994995,7,9
17,y2_0,0.9779779779779779,7,9
33,sqrty_0,0.9778894472361809,2,0
2,y_2,0.969,2,0
26,cy_0,0.878391959798995,2,4
32,result_val_2,0.8221105527638191,4,9
20,sy_0,0.7849246231155779,2,9
8,temp_3,0.7577577577577578,0,1
6,dd_1,0.7537537537537538,0,1
7,temp_0,0.7517517517517518,0,1
10,d_1,0.7517517517517518,0,1
11,d_4,0.7497497497497497,0,1
13,e_1,0.7487487487487487,9,1
14,e_4,0.7477477477477478,9,3
36,z_0,0.7457286432160803,6,8
18,seps_1,0.6585365853658537,0,2
25,s_0,0.363819095477387,4,0
21,abs_sum_0,0.36281407035175883,9,8
24,result_val_0,0.33668341708542715,4,0
22,ceps_1,0.25609756097560976,4,1
19,d_5,0.22613065326633164,0,8
28,ampl_0,0.18190954773869347,7,8
37,seps_0,0.13959085439229846,1,8
29,result_err_8,0.0,0,0
34,stat_cp_0,0.0,0,0
35,stat_ct_0,0.0,0,0
31,result_err_10,0.0,0,0
38,ceps_0,0.0,0,0
30,result_err_9,0.0,0,0
0,result_err_7,0.0,0,0
27,stat_ca_0,0.0,0,0
23,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
15,result_err_0,0.0,0,0
12,e_0,0.0,0,0
9,d_0,0.0,0,0
5,dd_0,0.0,0,0
4,status_0,0.0,0,0
3,fn_1,0.0,0,0
39,e2_0,0.0,0,0
