*************Target variables in total: 32*************
Number of Fault Insertions: 491
Number of Faulty Executions: 491
,variable_name,max_risk_diff,quantile1,quantile2
7,theta_2,1.0,0,2
1,delta_0,1.0,3,0
23,temp_0,0.8338338338338338,0,8
22,temp_3,0.8218218218218218,0,8
24,dd_1,0.8028028028028028,0,4
15,y_0,0.8028028028028028,0,8
14,y2_0,0.8018018018018018,0,8
20,d_1,0.7957957957957957,0,8
26,t_0,0.7667667667667668,0,8
0,y_1,0.643,6,0
19,d_4,0.5665665665665665,1,8
3,r_0,0.5429999999999999,0,4
28,x_5,0.4709480122324159,4,8
11,x_4,0.42000000000000004,0,5
16,e_4,0.37237237237237236,9,4
17,e_1,0.2732732732732733,0,4
13,status_0,0.0,0,0
5,P2_0,0.0,0,0
30,p0_0,0.0,0,0
29,p1_0,0.0,0,0
2,P3_0,0.0,0,0
27,sgn_3,0.0,0,0
4,TwoPi_0,0.0,0,0
25,dd_0,0.0,0,0
6,P1_0,0.0,0,0
12,status_red_0,0.0,0,0
8,stat_0,0.0,0,0
21,d_0,0.0,0,0
9,x_cut_0,0.0,0,0
10,sgn_0,0.0,0,0
18,e_0,0.0,0,0
31,r_1,0.0,0,0
