*************Target variables in total: 31*************
Number of Fault Insertions: 753
Number of Faulty Executions: 753
,variable_name,max_risk_diff,quantile1,quantile2
24,dd_1,0.3003003003003003,7,6
23,temp_0,0.3003003003003003,0,4
22,temp_3,0.26726726726726724,6,4
20,d_1,0.25625625625625625,0,4
17,e_1,0.24724724724724734,9,6
19,d_4,0.15915915915915912,0,1
16,e_4,0.15815815815815815,9,4
11,x_4,0.0050000000000000044,0,9
28,x_5,0.0026954177897574594,0,1
0,y_1,0.0020000000000000018,6,0
29,p1_0,0.0,0,0
27,sgn_3,0.0,0,0
26,t_0,0.0,0,0
25,dd_0,0.0,0,0
21,d_0,0.0,0,0
18,e_0,0.0,0,0
15,y_0,0.0,0,0
1,delta_0,0.0,0,0
14,y2_0,0.0,0,0
13,status_0,0.0,0,0
12,status_red_0,0.0,0,0
10,sgn_0,0.0,0,0
9,x_cut_0,0.0,0,0
8,stat_0,0.0,0,0
7,theta_2,0.0,0,0
6,P1_0,0.0,0,0
5,P2_0,0.0,0,0
4,TwoPi_0,0.0,0,0
3,r_0,0.0,0,0
2,P3_0,0.0,0,0
30,p0_0,0.0,0,0
