*************Target variables in total: 28*************
Number of Fault Insertions: 509
Number of Faulty Executions: 509
,variable_name,max_risk_diff,quantile1,quantile2
2,abserr_trunc_1,1.0,0,7
5,result_1,1.0,0,7
18,trunc_1,0.949,5,7
22,abserr_0,0.913,9,8
26,r_0_1,0.907,5,7
3,dy_0,0.896,0,9
7,fm1_0,0.893,5,7
23,result_3,0.887,5,7
8,fp1_0,0.861,5,7
1,abserr_round_1,0.812,0,9
11,fmh_0,0.73,8,7
0,fph_0,0.643,5,7
20,round_1,0.485,1,3
24,error_1,0.28600000000000003,0,7
21,round_0,0.0,0,0
25,error_0,0.0,0,0
19,trunc_0,0.0,0,0
14,trunc_opt_0,0.0,0,0
17,r_opt_0,0.0,0,0
16,error_opt_0,0.0,0,0
15,error_opt_1,0.0,0,0
13,round_opt_0,0.0,0,0
12,h_opt_0,0.0,0,0
10,r3_0,0.0,0,0
9,r5_0,0.0,0,0
6,e3_0,0.0,0,0
4,e5_0,0.0,0,0
27,r_0_0,0.0,0,0
