*************Target variables in total: 37*************
Number of Fault Insertions: 760
Number of Faulty Executions: 300
,variable_name,max_risk_diff,quantile1,quantile2
20,temp_3,0.928,9,8
22,dd_1,0.908,3,4
10,y2_0,0.546,2,3
11,y_0,0.546,2,3
12,result_val_0,0.391,2,4
17,d_4,0.39,0,4
21,temp_0,0.35,3,4
14,e_4,0.321,0,4
26,result_val_6,0.289002557544757,0,6
24,px11_0,0.28132992327365725,0,3
9,return_val_0,0.27877237851662406,0,5
7,result_val_4,0.24040920716112535,0,5
31,px_0,0.23529411764705888,0,3
6,x_4,0.23273657289002558,2,3
1,value_2,0.21483375959079287,2,5
25,t_0,0.023017902813299185,7,2
18,d_1,0.007000000000000006,7,9
15,e_1,0.006000000000000005,9,6
29,result_err_7,0.0,0,0
28,result_err_8,0.0,0,0
32,t_1,0.0,0,0
33,result_val_7,0.0,0,0
34,c0_1,0.0,0,0
27,c0_0,0.0,0,0
35,result_err_10,0.0,0,0
30,result_err_6,0.0,0,0
0,n_4,0.0,0,0
23,dd_0,0.0,0,0
19,d_0,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
8,status_0,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
