*************Target variables in total: 37*************
Number of Faulty Executions: 473
,variable_name,max_risk_diff,quantile1,quantile2
22,dd_1,0.882,3,4
21,temp_0,0.882,3,4
20,temp_3,0.838,9,3
26,result_val_6,0.7928388746803069,0,5
7,result_val_4,0.782608695652174,0,3
31,px_0,0.7544757033248082,5,1
1,value_2,0.6547314578005115,0,5
6,x_4,0.6368286445012787,0,7
25,t_0,0.5856777493606138,5,1
12,result_val_0,0.5630000000000001,3,0
24,px11_0,0.4782608695652174,0,5
9,return_val_0,0.44501278772378516,0,5
32,t_1,0.4170771756978654,0,2
15,e_1,0.375,0,4
33,result_val_7,0.3349753694581281,9,4
18,d_1,0.271,0,3
17,d_4,0.27,2,0
14,e_4,0.17700000000000002,0,9
11,y_0,0.105,7,9
10,y2_0,0.046,1,9
29,result_err_7,0.0,0,0
28,result_err_8,0.0,0,0
34,c0_1,0.0,0,0
27,c0_0,0.0,0,0
35,result_err_10,0.0,0,0
30,result_err_6,0.0,0,0
0,n_4,0.0,0,0
23,dd_0,0.0,0,0
19,d_0,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
8,status_0,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
