*************Target variables in total: 47*************
Number of Fault Insertions: 495
Number of Faulty Executions: 286
,variable_name,max_risk_diff,quantile1,quantile2
46,result_val_5,0.8447412353923205,0,6
41,et_0,0.8447412353923205,0,1
35,xk_0,0.7545909849749584,2,0
42,numexp_1,0.6828046744574291,5,0
37,sumexp_1,0.6393989983305509,5,0
45,sumexp_5,0.5926544240400667,2,0
34,rk_0,0.5859766277128547,5,0
36,sumexp_2,0.5843071786310517,2,0
39,sum2_1,0.5742904841402338,2,0
44,t_2,0.335559265442404,0,3
38,sumexp_0,0.0,0,0
40,sum2_0,0.0,0,0
24,result_err_4,0.0,0,0
43,result_err_6,0.0,0,0
33,rk_1,0.0,0,0
32,xk1_0,0.0,0,0
31,xk1_1,0.0,0,0
30,result_val_2,0.0,0,0
29,result_val_3,0.0,0,0
28,t_1,0.0,0,0
27,result_c_val_0,0.0,0,0
26,result_err_2,0.0,0,0
25,result_err_3,0.0,0,0
0,result_err_1,0.0,0,0
1,val_infinity_0,0.0,0,0
11,cs_c_j_0,0.0,0,0
2,result_val_1,0.0,0,0
3,status_0,0.0,0,0
4,cs_b_0,0.0,0,0
5,cs_a_0,0.0,0,0
6,cs_c_cs_order_0,0.0,0,0
7,y2_0,0.0,0,0
8,y_0,0.0,0,0
9,cs_c_0_0,0.0,0,0
10,result_val_0,0.0,0,0
12,result_err_0,0.0,0,0
22,dd_0,0.0,0,0
13,e_4,0.0,0,0
14,e_1,0.0,0,0
15,e_0,0.0,0,0
16,d_4,0.0,0,0
17,d_1,0.0,0,0
18,d_0,0.0,0,0
19,temp_3,0.0,0,0
20,temp_0,0.0,0,0
21,dd_1,0.0,0,0
23,result_c_err_0,0.0,0,0
